,airline_sentiment,negativereason,airline,text_clean
71,0,,Virgin America,emailed customer service team let know need tracking number
72,0,,Virgin America,hi booked flight need add baggage
73,1,Flight Attendant Complaints,Virgin America,airline awesome lax loft needs step game 40 dirty tables floors http co hy0vrfhjht
74,0,,Virgin America,not worried great ride new plane great crew airlines like
75,0,,Virgin America,awesome flew yall sat morning way correct bill
76,0,,Virgin America,watch best student films country 35 000 feet cmfat35000feet http co kek5pdmgif
77,0,,Virgin America,first time flying different rate policy media bags thanks
78,1,Customer Service Issue,Virgin America,going customer service anyway speak human asap thank
79,0,,Virgin America,happened doom
80,1,Customer Service Issue,Virgin America,not supp biz traveler like customer service like neverflyvirginforbusiness
81,0,,Virgin America,applied member inflight crew team im 100 interested flightattendant dreampath g
82,1,Late Flight,Virgin America,best whenever begrudgingly use airline delayed late flight
83,1,Can't Tell,Virgin America,no interesting flying cancelled flight next four flights planned neverflyvirginforbusiness
84,1,Can't Tell,Virgin America,disappointing experience shared every business traveler meet neverflyvirgin
85,1,Flight Booking Problems,Virgin America,trouble adding flight wife booked elevate account help http co px8hqoks3r
86,0,,Virgin America,ca not bring reservation online using flight booking problems code
87,0,,Virgin America,random q distribution elevate avatars bet kitty disproportionate share http co aptzpurop4
88,0,,Virgin America,lt 3 flying va life happens trying change trip jperhi help va home page not let
89,1,Can't Tell,Virgin America,site back
90,0,,Virgin America,rnp yeah know
91,0,,Virgin America,hi not get points elevate account recent flight add flight points account
92,1,Cancelled Flight,Virgin America,like tv interesting video disappointed cancelled flightled flight flights went jfk saturday
93,1,Late Flight,Virgin America,landed lax hour no late flight bag check not business travel friendly nomorevirgin
94,0,,Virgin America,flight 345 redirected
95,1,Customer Service Issue,Virgin America,website btw new website not great user experience time another redesign
96,1,Customer Service Issue,Virgin America,not check add bag website not working tried desktop mobile http co avyqdmpi1y
97,1,Can't Tell,Virgin America,let 2 scanned passengers leave plane told someone remove bag 1st class bin uncomfortable
98,1,Flight Booking Problems,Virgin America,virginamerica phone number not find call flight reservation
99,1,Customer Service Issue,Virgin America,anyone anything today website useless no one answering phone
100,0,,Virgin America,trying add boy prince ressie sf thursday lax http co gsb2j3c4gm
101,1,Late Flight,Virgin America,must traveler miss flight late flight check bag missed morning appointments lost business sfo2lax
102,0,,Virgin America,check new music http co marcnocwzn
103,1,Late Flight,Virgin America,virginamerica direct flight fll gt sfo unexpected layover vegas 4 fuel yet peeps next bought vegas flight sneaky
104,1,Late Flight,Virgin America,no late flight bag check lost business missed flight apt three people flight exp
105,0,,Virgin America,amazing customer service raeann sf best customerservice virginamerica flying
106,1,Customer Service Issue,Virgin America,called service line hung awesome sarcasm
107,1,Flight Booking Problems,Virgin America,site tripping trying check getting plain text version reluctant enter card info
108,0,,Virgin America,scheduled sfo 2 dal flight 714 today changed 24th due weather looks like flight still
109,0,,Virgin America,getaway deals may 59 one way lots cool cities http co tzzjhuibch cheapflights farecompare
110,0,,Virgin America,getaway deals may 59 one way lots cool cities http co rpdbpx3wnd cheapflights farecompare
111,0,,Virgin America,getaway deals may 59 one way lots cool cities http co b2xi4yg5t8 cheapflights farecompare
112,0,,Virgin America,getaway deals may 59 one way lots cool cities http co qdljhsloi5 cheapflights farecompare
113,0,,Virgin America,great week
114,0,,Virgin America,come back phl already need take us horrible cold pleasecomeback http co glxfwp6nqh
115,1,Late Flight,Virgin America,concerned fly plane needs delayed due tech stop
116,0,,Virgin America,best airline flown easy change reservation helpful representatives amp comfortable flying experience
117,0,,Virgin America,another rep kicked butt naelah represents team beautifully thank
118,0,,Virgin America,beautiful front end design right cool still book ticket b c back end secure
119,0,,Virgin America,love team running gate e9 las tonight waited delayed flight kept things entertaining
120,1,Customer Service Issue,Virgin America,use another browser 2015 amp brand reputation built tech response not cross browser compatible website
121,1,Flight Booking Problems,Virgin America,flight flight booking problems site totally folks problem
122,1,Customer Service Issue,Virgin America,like customer service 40 min delay connecting passengers seems long va370
123,0,,Virgin America,thanks outstanding nyc jfk crew moved mountains get home san francisco tonight
124,0,,Virgin America,absolute best team customer service ever every time fly delighted thank
125,0,,Virgin America,provide complimentary upgrades first class available seats
126,1,Customer Service Issue,Virgin America,need change flight thats scheduled 9 hours 120 min wait time phone im calling intern help
127,0,,Virgin America,completely awesome experience last month bos las nonstop thanks awesome flight depart time vabeatsjblue
128,0,,Virgin America,watch oscars2015 jfk gt sfo flight
129,0,,Virgin America,flight 882 cancelled flightled
130,1,Customer Service Issue,Virgin America,failing customers check process not link tsa pre check
131,1,Can't Tell,Virgin America,fidifamilies us terrible airline gave us hotel hotline number said sorry
132,0,,Virgin America,flight number 276 sfo cabo san lucas arrived yet
133,1,Cancelled Flight,Virgin America,chrysichrysic assistance yesterday u cancelled flightled flight give us hotel hotline shame
134,1,Late Flight,Virgin America,another delayed flight likingyoulessandless
135,1,Customer Service Issue,Virgin America,need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise
136,0,,Virgin America,virginamerica rock making watch oscars flight redcarpet oscars oscars2015
137,0,,Virgin America,reallytallchris dropped track https co zv2pt6trk9
138,0,,Virgin America,always xoxo
139,1,Flight Booking Problems,Virgin America,not book seats flights buy even check creates much anxiety frustrated
140,1,Flight Attendant Complaints,Virgin America,would think paying extra 100 bucks rt luggage might afford hiring extra hand sfo lame
141,0,,Virgin America,best customer service rep world irmafromdallas takes cake
142,0,,Virgin America,find us flt lax sooner midnight monday would great customer service
143,1,Late Flight,Virgin America,please provide status flight 769 cant imagine time web indicates dude weather dallas
144,0,,Virgin America,amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort
145,1,Cancelled Flight,Virgin America,paid premium fly across country cancelled flight flight offer no check fee upgrade love sad face
146,1,Flight Booking Problems,Virgin America,question not possible book seat infant 2 not giving option want seat
147,0,,Virgin America,always together welcome rt jessicajaymes welcome
148,0,,Virgin America,virginamerica flight home dc sunset globe backtowinter back work refreshed http co vx9vbctdlf
149,1,Damaged Luggage,Virgin America,not understand need dm give answer damaged luggage policy
150,1,Damaged Luggage,Virgin America,mean not policy destroyed luggage
151,0,,Virgin America,special assistance travel alone w 2 kids 1 infant priority boarding
152,0,,Virgin America,thank checking tickets purchased customer happy
153,0,,Virgin America,website ever coming back online
154,0,,Virgin America,flight 713 love field sfo definitely cancelled flightled monday february 23
155,0,,Virgin America,flight 0769 lga dfw time
156,0,,Virgin America,drivers license expired little month fly friday morning using expired license
157,1,Customer Service Issue,Virgin America,problems flight booking problems web site keeps giving error contact phone phone 30 minute wait
158,1,Cancelled Flight,Virgin America,reschedule cancelled flightled flights online change button greyed
159,1,Flight Booking Problems,Virgin America,rang wait 35 minutes book ticket vendor fix site
160,1,Late Flight,Virgin America,got flight told 4 50 today checked email 4 50 tomorrow unacceptable
161,1,Cancelled Flight,Virgin America,flight lga cancelled flighted stuck dallas called reschedule told could get flight today 1 2
162,1,Bad Flight,Virgin America,virginamerica not pairings include red wine white offered redwineisbetter
163,1,Customer Service Issue,Virgin America,website
164,1,Customer Service Issue,Virgin America,site seems little wonked right may want look tried two browsers no css http co 8qsqmm7kf2
165,1,Customer Service Issue,Virgin America,disappointed agent designated silver status check line dulles airport closed assist pasengers
166,0,,Virgin America,plans include austin dallas route topnews arab emirates http co aqzwecokk2
167,1,Customer Service Issue,Virgin America,normal receive no reply central baggage baggageissues smh
168,1,longlines,Virgin America,logan airport waiting checkin 9am flight checkin desk not open
169,0,,Virgin America,jump dallas austin market dallas news http co ewwgi97gdx
170,0,,Virgin America,beats eps views takes southwestair va luv investor business daily http co flwmgdahxu
171,0,,Virgin America,lister show monday 1230 130
172,0,,Virgin America,begin dallas austin flights april 88 9 ketr http co ssuvwwkyhh
173,1,Can't Tell,Virgin America,congrats got business ewr sfo lax fuck fl1289 sfo ewr clincher
174,1,Customer Service Issue,Virgin America,applied 2 weeks ago not heard back flying week disappointed
175,0,,Virgin America,would love know policy damaged luggage
176,0,,Virgin America,thank follow
177,1,Customer Service Issue,Virgin America,many apologies r worse airlines not even respond cudtomers
178,1,Cancelled Flight,Virgin America,shame va making people spend money stranded cities airlines landing jfk reimburse
179,0,,Virgin America,ttinac11 dm
180,0,,Virgin America,please flights sjc no choice fly southwest vegas
181,1,Customer Service Issue,Virgin America,bad say takes 10 14 days via confirmation email inquired 3 weeks claim 6 8 weeks
182,1,Cancelled Flight,Virgin America,flight bos gt las tomorrow cancelled flightled no notification wait times 1 hour rebook another airline
183,0,,Virgin America,rt met match got status another airline upgrade restr http co rhkamx9vf5 http co pyalebgkjt
184,0,,Virgin America,way fly elevate gold
185,0,,Virgin America,guys flights cmh
186,1,Can't Tell,Virgin America,lot apologies thrown customers see sad thanks nothing worst airline ever
187,1,Flight Attendant Complaints,Virgin America,flight stuff wrong nothing worst flight ever
188,0,,Virgin America,issue finding missing item plane help find airport plane headed next
189,0,,Virgin America,match americanairlines status cool
190,0,,Virgin America,met match got status another airline upgrade http co h952rdktqy asarco es ar
191,1,Flight Booking Problems,Virgin America,trying book flight guys website not let lose business
192,1,Can't Tell,Virgin America,suck
193,0,,Virgin America,thanks
194,1,Flight Booking Problems,Virgin America,dm would issue persisting
195,1,Cancelled Flight,Virgin America,never rec would cancelled flightlation notice left w no options fly ps driving la red eye mon w kids
196,1,Flight Booking Problems,Virgin America,trying book flight amp site
197,1,Cancelled Flight,Virgin America,flights flying boston tomorrow need home cancelled flightled flight not anything
198,1,Cancelled Flight,Virgin America,stink flight cancelled flighted psp jfk no notification ability rebook disappointed expected better
199,0,,Virgin America,love guy song dancing high school dance revue
200,1,Customer Service Issue,Virgin America,website trying check
201,0,,Virgin America,done thank quick response apparently faster sitting hold
202,0,,Virgin America,nervous flight dc lax getting cancelled flightled tomorrow sent dm help
203,0,,Virgin America,cool picture another virginamerica plane wing site http co 5b2agfd8c4
204,0,,Virgin America,keep great work
205,0,,Virgin America,goodness people love field amazing pressure texas beatstheothers crisis please fly ny
206,0,,Virgin America,thanks great flight la boston pilots great job landing snow go back la seriously
207,0,,Virgin America,please get new york area monday afternoon
208,0,,Virgin America,thanks much awesome support guys rock
209,1,Bad Flight,Virgin America,seats row 8 not recline mention website soreback
210,1,Late Flight,Virgin America,flight 404 delayed 2 hours la due mechanical problems handle like pros could tossed us free drink
211,1,Cancelled Flight,Virgin America,cancelled flight flights today no precipitation scared
212,0,,Virgin America,twitter team guys killed rescheduling asap thank
213,1,Cancelled Flight,Virgin America,guys charged 100 reschedule flight cancelled flighted refusing refund deal
214,1,Customer Service Issue,Virgin America,access website safari iphone 6 seems work mac ipad need iphone add passbook
215,0,,Virgin America,ipad iphone clicking checkin link email received 24hrs flight
216,1,Customer Service Issue,Virgin America,mobile site broken shows header elevateuser numofpointsavailable 0 number points not let checkin
217,1,Cancelled Flight,Virgin America,really looking forward flight let know rescheduled diehardvirgin
218,1,Cancelled Flight,Virgin America,cancelled flight flight vx413 one sec delayed airport next cancelled flightled gonna email call reschedule
219,1,Customer Service Issue,Virgin America,problem link email check thanks
220,1,Flight Booking Problems,Virgin America,change another airline get dc today able land dc not cost 800 ugh
221,1,Cancelled Flight,Virgin America,looking forward first flight today cancelled flightled along subsequent one
222,0,,Virgin America,putting great deals pdx las las pdx show love http co eniqg0buzj
223,0,,Virgin America,wish afford fly next friday going back home love everything airline
224,1,Can't Tell,Virgin America,gonna deal dallas dc no deal dc dallas sad
225,0,,Virgin America,bug report guys
226,1,Customer Service Issue,Virgin America,hold times call center bit much
227,0,,Virgin America,like http co vpqem31xuq
228,1,Flight Booking Problems,Virgin America,site help
229,0,,Virgin America,best flight attendant ever http co pxdel1nq3l
230,0,,Virgin America,awesome rt watch nominated films 35 000 feet meetthefleet oscars http co dnstitrzwy
231,0,,Virgin America,thanks much
232,1,Customer Service Issue,Virgin America,trying reset password email never arrives help
233,0,,Virgin America,airline based silicon valley disruption fcmostinnovative incubator fastcompany http co wu3lbcncr9
234,0,,Virgin America,nicely done
235,0,,Virgin America,looking forward watching oscars flight home tomorrow might even get something bubbly drink
236,1,Late Flight,Virgin America,reason delay departure vx 413 jfk afternoon
237,1,Cancelled Flight,Virgin America,todays flight palm springs ca jfk ny cancelled flightled
238,0,,Virgin America,hahaha guys amazing love guys
239,0,,Virgin America,sounds like fun
240,0,,Virgin America,updates flight 413 jfk gt lax
241,0,,Virgin America,virginamerica spruce moose
242,1,Customer Service Issue,Virgin America,css site 404 right please fix site unusable
243,1,Lost Luggage,Virgin America,flight 910 vegas boston today checked online bag count not register fix somehow
244,0,,Virgin America,classiq luv virgin america greetingz
245,1,Customer Service Issue,Virgin America,hi trying check website not working tried 3 different browsers problem continues
246,0,,Virgin America,thanks great customer service today amp helping get travel sorted
247,0,,Virgin America,thanks guys sweet route rockies airplanemodewason
248,0,,Virgin America,love 90s music blasting gate boston waiting flight sanfrancisco could get iced coffee
249,1,Bad Flight,Virgin America,passenger 7d flt 338 assaulted not flown trust banned crew filed report faanews
250,1,Flight Booking Problems,Virgin America,current bug website shows select departure city selecting destination city http co sllyibe2vq
251,1,Damaged Luggage,Virgin America,luggage severely dented missing wheel coming baggage claim san luggage agent miranda think not help
252,0,,Virgin America,thank easy itinerary shift impending weather quick painless amp free
253,0,,Virgin America,would love see girls inspired become pilots rt free woaw event march 2 8 abq http co rfxlv1kgdh
254,0,,Virgin America,thanks good times back vodkatonics entire flight sfo
255,0,,Virgin America,beats expectations shares take santa cruz sentinel http co qm9dqbai6g
256,0,,Virgin America,plans start flying direct dal las
257,0,,Virgin America,big love gratitude mpower w http co 1agr9kncpf werin oscars2105 vipswagbags avalonhollywood http co ybmbgs0dhn
258,0,,Virgin America,great job adding little luxuries aesthetics improve air travel experience thank keep
259,1,Bad Flight,Virgin America,requested window seat confirmed window got stuck middle seat not good way treat silver member
260,0,,Virgin America,grand budapest hotel oscarscountdown
261,0,,Virgin America,missed newsvp next trip 407
262,1,Bad Flight,Virgin America,wtf paid direct flight purpose not stop fuel exhausted frequent flier nothing inconvenience
263,1,Customer Service Issue,Virgin America,something wrong website safari iphone
264,0,,Virgin America,thanks gate checking baggage full flight dfw lax 883 giving early boarding sweet
265,1,Can't Tell,Virgin America,already checked page expired x
266,1,Customer Service Issue,Virgin America,boo not refunding seat upgrade fee not want buy first place
267,0,,Virgin America,shares rise q4 financial results usa today http co lfs4pefe6y
268,0,,Virgin America,adds pillows instead lie flat seats first class arms race http co rgywjbbhm4
269,0,,Virgin America,see
270,0,,Virgin America,way take advantage mayweatherpacquiao
271,0,,Virgin America,know flying virgin fight mayweatherpacquiao
272,0,,Virgin America,inflight team makes experience amazing
273,0,,Virgin America,cutest salt pepper shaker ever think guys not get better http co vc6keulg2j
274,1,Bad Flight,Virgin America,moved seat no notice better seat cabin select not behind row selected disappointed
275,0,,Virgin America,shares 4q results iol http co xz6qeg3nef
276,0,,Virgin America,fav airline
277,0,,Virgin America,hot female pilot sweet dca sfo
278,0,,Virgin America,guys going start flying paris lizautter welcome
279,0,,Virgin America,policy flying surgery still waiting answer tell doctor
280,1,Lost Luggage,Virgin America,already contacted central baggage amp sent dm renttherunway charging dress lost suitcase help
281,0,,Virgin America,thank
282,1,Customer Service Issue,Virgin America,anything going website getting lot errors past 30 minutes
283,0,,Virgin America,think left something plane yesterday call ah
284,0,,Virgin America,need follow back order dm
285,0,,Virgin America,need start flying kciairport
286,0,,Virgin America,told check airline regulation first contacted
287,1,Can't Tell,Virgin America,virginatlantic checked flight sfo lax amp told atlantic flying club gold get no benefits
288,1,Flight Attendant Complaints,Virgin America,husband ordered three drinks via screen never came awesome
289,1,Bad Flight,Virgin America,soooo guys going leave seatbelt light flight barely call turbulence
290,0,,Virgin America,policy flying surgery
291,0,,Virgin America,posts second consecutive full year net profit atwonline http co tvb5zbzvhg
292,1,Flight Booking Problems,Virgin America,funny story website broken missing javascript stylesheets checkin process dislike
293,0,,Virgin America,would love virgin like gopro
294,0,,Virgin America,results handily exceed forecasts nytimes http co gonmrwem6i
295,0,,Virgin America,applied position flylaxairport wondering guys received application
296,0,,Virgin America,achieves second year profitability despite revenue pressure capa aviation http co zsuztnaijq
297,0,,Virgin America,gives positive outlook sees increased competition reuters http co jeu7od3eyj
298,1,Customer Service Issue,Virgin America,trying check 10 50am ct flight tmm desktop website not working sort caching bug sos
299,0,,Virgin America,weather delays gt next weeks jfk bos dca
300,0,,Virgin America,madbee95 check website go airport
301,1,Customer Service Issue,Virgin America,guys know check links emails broken http co 2npxb6obmr
302,0,,Virgin America,pilot says expect choppy landing nyc due gusty winds w temperature 5 degrees amp w windchill 8
303,0,,Virgin America,loved ca not wait monday return flight mostly watch inflight safety video sorrynotsorry
304,1,Lost Luggage,Virgin America,lost luggage 4 days ago flight vx 112 lax iad amp calling every day no response please give back stuff
305,1,Flight Booking Problems,Virgin America,flight booking problems section website seems broken chrome might wanna look
306,0,,Virgin America,hi wanted see new routes planned year newark love flying guys hope
307,0,,Virgin America,mean probably inappropriate board
308,0,,Virgin America,happy spend day together let
309,0,,Virgin America,saving sanity right http co eltboljul9
310,0,,Virgin America,missed flight standby work
311,0,,Virgin America,understanding helped thx comps
312,0,,Virgin America,brought way across country today see http co tkauygcpms
313,0,,Virgin America,thank absolutely
314,1,Can't Tell,Virgin America,virginamerica looks like broken link assets https co oardjjgrrd
315,0,,Virgin America,ready let say together noooo turbulence today
316,1,Flight Booking Problems,Virgin America,virginamerica manage itinerary section website seems broken https co 2pujvcelng
317,1,Customer Service Issue,Virgin America,not check site looks like every time loads http co kacy2awdbw
318,0,,Virgin America,u help freyabevan fund needs urgent treatment 2y old battling cancer could u help flights freyasfund
319,0,,Virgin America,virginamerica may start service hawaii sanfrancisco year http co ypo7nyprzl biztravel
320,1,Customer Service Issue,Virgin America,virginamerica carriers less half price round trip fare stunned http co ukdjjijrow
321,1,Flight Booking Problems,Virgin America,wtf happening pdx late flight march one way sfo 550
322,0,,Virgin America,add dtw sold
323,0,,Virgin America,free drinks flight back free promo
324,0,,Virgin America,ssal thanks
325,0,,Virgin America,momma made
326,0,,Virgin America,please contact portfolio left flight vx 27 jfk sfo tonite seat 7am need returned call 914 329 0185
327,0,,Virgin America,help flight 27 jkf tonight seat 7c left portfolio need back
328,0,,Virgin America,shrinerack seattle bound wifey got duffle vday keeper holla http co jloiblnair
329,1,Lost Luggage,Virgin America,luggage gone filed paperwork promised call email still no resolution response central luggage
330,0,,Virgin America,debbie baldwin gave rockstar performance safety demo evening vx919 las2sfo bestcrew sherocks
331,0,,Virgin America,thanks
332,0,,Virgin America,thanks taking care suuperg flight rockstars travel
333,0,,Virgin America,thanks lovely soft views travel san sfo http co cnctl7g1ef
334,1,Flight Booking Problems,Virgin America,requested mileage challenge status several weeks ago online not heard back get help
335,1,Flight Booking Problems,Virgin America,trying book tickets nyc facing super fun broken styling not worry keep trying
336,0,,Virgin America,many thanks follow ourprincess freyasfund usa bandie looking help http co ujfs9zi6kd
337,0,,Virgin America,nice lofty view flylaxairport silverstatus http co f4tp0dawbd
338,1,Customer Service Issue,Virgin America,applied status match feb 1 got confirmation email day still no news though guys dropped ball late flightly
339,0,,Virgin America,new go airline
340,0,,Virgin America,virginatlantic gma help ourprincess need help usa http co 778aztdaer
341,0,,Virgin America,adore looking forward flight austin two weeks
342,0,,Virgin America,glad mentioned took first virgin flight years back transformative experience
343,0,,Virgin America,flight booking problems flight uphold status match taxes ticket count earned status points statusmatch virginamerica
344,1,Customer Service Issue,Virgin America,trying check looks like site
345,1,Late Flight,Virgin America,spending birthday night dal dca get home
346,1,Customer Service Issue,Virgin America,sent couple messages email provided no avail try next year cheers
347,0,,Virgin America,first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline
348,1,Can't Tell,Virgin America,seriously though not direct flights sfo fll may
349,1,Flight Booking Problems,Virgin America,fine already done purchase try go way go back 3
350,1,Bad Flight,Virgin America,virginamerica not really experience hoping 4 ws forced 2 check small carry w nothing empty cabin space board
351,1,longlines,Virgin America,wjere luggage slow lax
352,0,,Virgin America,jump dallas austin market http co szr0pioa21
353,1,Customer Service Issue,Virgin America,spoke representative offered no solution loyal customer flies virginatlantic well
354,1,Flight Booking Problems,Virgin America,deeply disappointed birthday promo not applied trip booked mere days received email
355,1,Flight Booking Problems,Virgin America,happened direct flights sfo fll looking may see connecting help dontdothistome
356,0,,Virgin America,virginamerica help left blazer kooples jacket bag 3rd row second seat right gate 36 t3 lax flight sfo
357,0,,Virgin America,partners visa checkout mobile payment method help boost mobile conversion rates etailwest payments visa
358,0,,Virgin America,promoting product problem southwest recommend noneother best http co tfanxbh1cf
359,0,,Virgin America,love guys pls get direct routes las aus
360,0,,Virgin America,would like help flights please
361,0,,Virgin America,bruh giannilee turn vxsafetydance
362,0,,Virgin America,course work virginatlantic obsessed entire virgin family
363,0,,Virgin America,ok first time flying tonight
364,0,,Virgin America,virginamerica digging swanky pink mood lighting flight nyc sfo needs cabaret singer think
365,0,,Virgin America,done need receipt asap could please help 150219 000114
366,1,Can't Tell,Virgin America,2d 3d embossed badges patches superior ones currently using http co 3fq3xelbon
367,1,Bad Flight,Virgin America,vx399 jfk la dirty plane not standards
368,1,Bad Flight,Virgin America,flight vx399 headed la jfk dirtiest va plane ever sad great airline
369,0,,Virgin America,got squared away someone picked soon tweeted tweeted sooner
370,1,Customer Service Issue,Virgin America,avis rental continue button not work website book car tried 4 times phone sucks
371,1,Late Flight,Virgin America,delayed to10 30
372,1,Customer Service Issue,Virgin America,currently minute 10 hold cust service need anything add lap child reservation
373,0,,Virgin America,adds pillows instead lie flat seats first class arms race http co sfjduahx9z skift
374,0,,Virgin America,karinslee course fun celebrating thanks happy chinese new year
375,0,,Virgin America,flight booking problems last second flight next week sfo san chance want gift promo code since love guys
376,1,Can't Tell,Virgin America,comenity bank joke please change nothing constant problems bank
377,0,,Virgin America,dm u also add
378,0,,Virgin America,grandma ella 80th would lt 3 bday greeting flight crew stewardess eastern airlines
379,0,,Virgin America,bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever
380,0,,Virgin America,anytime sugafly
381,0,,Virgin America,gave credit late flight flight yesterday great service wow moment unexpected gesture
382,0,,Virgin America,need receipt flight change send one
383,1,Customer Service Issue,Virgin America,submitted status match request back still heard flying monday look accelerate
384,0,,Virgin America,safety video http co cqmm7nue9m loved first cross country flight livewelltraveled sytycd
385,0,,Virgin America,not look fat looks yummy
386,0,,Virgin America,ceo says southwest amp jetblue strayed low cost model http co 96sctomh29
387,0,,Virgin America,brilliant brisk boston cue vx363 http co rmznivgmg6
388,0,,Virgin America,atlantic ploughs lone furrow middleeast http co fvudmh27pf thenationaluae
389,0,,Virgin America,atlantic ploughs lone furrow middleeast http co dcobokn7ee thenationaluae
390,0,,Virgin America,atlantic ploughs lone furrow middleeast http co vw4p4t4tlh thenationaluae
391,0,,Virgin America,omg omg nonstop dallas austin virgin
392,0,,Virgin America,planes really pretty thought u know
393,0,,Virgin America,flying hawaii
